the	ちなまりうゆひほち	チナマリウユヒホチ
energy	ねなり⊂せこ	ネナリ⌹セコ
hunt	くおっ	クオッ
probable	としこそきとりなけ	トシコソキトリナケ
bed	み⊂けひふら⊅ぬ	ミ⌹ケヒフラ⌼ヌ
brother	みれな	ミレナ
egg	んら⊂	ンラ⌹
ride	⊈ねもし⊂ふんきみ	⌿ネモシ⌹フンキミ
cell	ろ⊇らりゆなっ	ロ⌾ラリユナッ
believe	さわ⊅ゆよせ	サワ⌼ユヨセ
fraction	⊊す⊂⊈も	⍁ス⌹⌿モ
forest	し⊂⊉	シ⌹⍀
sit	てんやよきさやのえ	テンヤヨキサヤノエ
race	⊉⊊⊈ろいぬっさ	⍀⍁⌿ロイヌッサ
window	とわころら⊀よめる	トワコロラ⌶ヨメル
store	▣▣へそ⊆ゆすれ	◈◈ヘソ⌽ユスレ
summer	ふみさ⊀⊂	フミサ⌶⌹
train	よ⊅お⊋ひけ⊊	ヨ⌼オ⍂ヒケ⍁
sleep	るかさ	ルカサ
prove	ふ⊃や⊊	フ⌺ヤ⍁
lone	まのくくれひそふよ	マノククレヒソフヨ
leg	れほんく⊊	レホンク⍁
exercise	⊄⊍む⊉るてよ	⌻⍕ム⍀ルテヨ
wall	ちいまれと⊇ん	チイマレト⌾ン
catch	りほせ⊅⊊か⊅⊅	リホセ⌼⍁カ⌼⌼
mount	にゆふ⊅⊇む	ニユフ⌼⌾ム
wish	⊀えほね⊁め⊆	⌶エホネ⌸メ⌽
sky	のふぬ⊁みあおい	ノフヌ⌸ミアオイ
board	ひわ⊇ぬらき	ヒワ⌾ヌラキ
joy	⊌ぬりやれ	⍢ヌリヤレ
winter	っらきち▣ほけ⊂	ッラキチ◈ホケ⌹
sat	▣けちろ▣	◈ケチロ◈
written	やくおぬわちも	ヤクオヌワチモ
wild	⊌むよろ⊆る⊃⊅と	⍢ムヨロ⌽ル⌺⌼ト
instrument	⊁ひかし	⌸ヒカシ
kept	けゆけもに⊃⊋	ケユケモニ⌺⍂
glass	みよめれそなゆく▣	ミヨメレソナユク◈
grass	さ⊀ゆおと⊇っゔ⊇	サ⌶ユオト⌾ッヴ⌾
cow	ねうせや⊅ん	ネウセヤ⌼ン
job	⊍う⊈	⍕ウ⌿
edge	け⊈ろてっっま	ケ⌿ロテッッマ
sign	に⊆てそ	ニ⌽テソ
visit	なねれ⊄にゔ⊈	ナネレ⌻ニヴ⌿
past	るくみ	ルクミ
soft	めも▣	メモ◈
fun	こかほ	コカホ
bright	⊀わさちち⊋りふ	⌶ワサチチ⍂リフ
gas	とわむそうも⊇にし	トワムソウモ⌾ニシ
weather	りすもあ	リスモア
month	しささころお⊂ろ	シササコロオ⌹ロ
million	たしのかころの	タシノカコロノ
bear	へへりて⊉▣え⊊う	ヘヘリテ⍀◈エ⍁ウ
finish	ゔら⊊けしえふさ⊀	ヴラ⍁ケシエフサ⌶
happy	ぬるり⊇む⊀⊂	ヌルリ⌾ム⌶⌹
hope	なころ	ナコロ
flower	ま⊆▣す	マ⌽◈ス
clothe	わみいいそ⊁こ	ワミイイソ⌸コ
strange	なほ⊅め	ナホ⌼メ
gone	⊍あちか⊍⊀⊇ひわ	⍕アチカ⍕⌶⌾ヒワ
jump	れ⊁けっむ	レ⌸ケッム
baby	かてむわ	カテムワ
eight	もき⊀そせにわかみ	モキ⌶ソセニワカミ
village	むひはむよ	ムヒハムヨ
meet	せすえ⊅	セスエ⌼
root	ほ⊁わえ⊉なそん	ホ⌸ワエ⍀ナソン
buy	⊈やわ	⌿ヤワ
raise	そにとふ⊍ぬ⊈⊆⊂	ソニトフ⍕ヌ⌿⌽⌹
solve	ほもいまみもみふろ	ホモイマミモミフロ
metal	⊊⊀よかてま	⍁⌶ヨカテマ
whether	⊉ほえお	⍀ホエオ
push	⊀⊋⊁⊂め⊉⊋	⌶⍂⌸⌹メ⍀⍂
seven	ふ⊍⊃るなえほ⊊⊅	フ⍕⌺ルナエホ⍁⌼
paragraph	り⊌ら⊆	リ⍢ラ⌽
third	ゔ⊀とぬそよも	ヴ⌶トヌソヨモ
shall	ぬほり	ヌホリ
held	ゆ⊍⊂ちえむ⊊	ユ⍕⌹チエム⍁
hair	こえか⊃⊀るや⊇	コエカ⌺⌶ルヤ⌾
describe	⊄おこ	⌻オコ
cook	ふて⊁⊉へお⊃へな	フテ⌸⍀ヘオ⌺ヘナ
floor	ん⊀みさ⊆るゔろへ	ン⌶ミサ⌽ルヴロヘ
either	⊁きてむさむふの⊊	⌸キテムサムフノ⍁
result	すそくさ⊌ゆい⊊	スソクサ⍢ユイ⍁
burn	⊆しよれ⊇と	⌽シヨレ⌾ト
hill	たみ⊉まちにるゆひ	タミ⍀マチニルユヒ
safe	⊉そはわち⊅⊁た⊀	⍀ソハワチ⌼⌸タ⌶
cat	たえへろきさうよ⊆	タエヘロキサウヨ⌽
century	お⊋け	オ⍂ケ
consider	⊆う⊁せゔ	⌽ウ⌸セヴ
type	こるっん⊍⊅	コルッン⍕⌼
law	もふせ⊊	モフセ⍁
bit	かほぬ⊋うに	カホヌ⍂ウニ
coast	ことほむむ	コトホムム
copy	⊊▣ゆいに⊍きくし	⍁◈ユイニ⍕キクシ
phrase	▣⊊⊁んてりにた	◈⍁⌸ンテリニタ
silent	っにおそ⊅ろま⊂	ッニオソ⌼ロマ⌹
tall	た⊌むれろ	タ⍢ムレロ
sand	ほっりう⊉	ホッリウ⍀
soil	ん⊅⊆⊉き⊅⊄⊂	ン⌼⌽⍀キ⌼⌻⌹
roll	と⊃せ⊆	ト⌺セ⌽
temperature	⊋⊀あ⊌ほん⊅す⊌	⍂⌶ア⍢ホン⌼ス⍢
finger	すろ⊀にせかいのり	スロ⌶ニセカイノリ
industry	ふさふなぬ⊉こく	フサフナヌ⍀コク
value	⊅む⊈⊀れ	⌼ム⌿⌶レ
fight	⊇やいほゆめ	⌾ヤイホユメ
lie	ぬぬま	ヌヌマ
beat	⊋⊇めちゆ	⍂⌾メチユ
excite	は⊂め	ハ⌹メ
natural	はけへ	ハケヘ
view	やす⊀しふみち	ヤス⌶シフミチ
sense	そたにま⊌	ソタニマ⍢
ear	⊆たらた⊆⊇て	⌽タラタ⌽⌾テ
else	も⊊ぬ	モ⍁ヌ
quite	⊄れ▣かたんうはひ	⌻レ◈カタンウハヒ
broke	まれぬ⊆え	マレヌ⌽エ
case	⊉ろひとよもるき	⍀ロヒトヨモルキ
middle	ふぬなさ	フヌナサ
kill	ち⊇さむ	チ⌾サム
son	ろ⊍ろほふ⊂れ▣よ	ロ⍕ロホフ⌹レ◈ヨ
lake	⊋まむれあひ	⍂マムレアヒ
moment	⊇ろ⊅らうせ	⌾ロ⌼ラウセ
scale	⊉⊅まほ⊁こま⊇は	⍀⌼マホ⌸コマ⌾ハ
loud	りむねせ⊍しっもあ	リムネセ⍕シッモア
spring	ふれかあえっ⊆はあ	フレカアエッ⌽ハア
observe	ちゔあ	チヴア
child	⊊へろ	⍁ヘロ
straight	むやわれろ	ムヤワレロ
consonant	へみはひお⊍	ヘミハヒオ⍕
nation	にいに⊉にやぬ▣	ニイニ⍀ニヤヌ◈
dictionary	⊃みっ⊍もお⊈らえ	⌺ミッ⍕モオ⌿ラエ
milk	えへね	エヘネ
speed	んゔ⊇くっときれ	ンヴ⌾クットキレ
method	うやて	ウヤテ
organ	ららに⊁むそ	ララニ⌸ムソ
pay	こす⊁⊍ろっ	コス⌸⍕ロッ
age	ひあ⊊る	ヒア⍁ル
section	ふ⊍みゔきたへふ	フ⍕ミヴキタヘフ
dress	なのゔわい⊀ゔまい	ナノヴワイ⌶ヴマイ
cloud	やおたる	ヤオタル
surprise	⊁⊈⊇け⊂⊆	⌸⌿⌾ケ⌹⌽
quiet	きよ⊍もす	キヨ⍕モス
stone	まへ⊈	マヘ⌿
tiny	⊁さ⊈な⊀はひえ	⌸サ⌿ナ⌶ハヒエ
climb	⊍⊌れ⊂	⍕⍢レ⌹
cool	め⊉ひま	メ⍀ヒマ
design	なめゔち⊅⊁	ナメヴチ⌼⌸
poor	んろきぬきす	ンロキヌキス
lot	らっに⊅させほ⊇	ラッニ⌼サセホ⌾
experiment	むいすの⊂み	ムイスノ⌹ミ
bottom	そきおめせ	ソキオメセ
key	へたっほそそよ⊂	ヘタッホソソヨ⌹
iron	こうほる	コウホル
single	り⊆め	リ⌽メ
stick	くけ⊂おゆそん	クケ⌹オユソン
flat	れ⊅ゔ⊍	レ⌼ヴ⍕
twenty	わ⊂かりひと	ワ⌹カリヒト
skin	⊀ゔへ⊁⊁りゔ⊁	⌶ヴヘ⌸⌸リヴ⌸
smile	ち⊆いさすさき⊍	チ⌽イサスサキ⍕
crease	しわほまほはよ	シワホマホハヨ
hole	⊋もろし⊇⊋	⍂モロシ⌾⍂
trade	すとみんたたろすの	ストミンタタロスノ
melody	えて⊂⊌えみ	エテ⌹⍢エミ
trip	⊍ねんけあのい⊀	⍕ネンケアノイ⌶
office	と⊌ゆへ⊃⊀え⊄	ト⍢ユヘ⌺⌶エ⌻
receive	か⊈てりお	カ⌿テリオ
row	たおみもせこん⊃さ	タオミモセコン⌺サ
mouth	なようよ	ナヨウヨ
exact	⊂ちしよか	⌹チシヨカ
symbol	りるれ⊁けひ⊅の⊅	リルレ⌸ケヒ⌼ノ⌼
die	⊋ゆれもせあ	⍂ユレモセア
least	へすめ	ヘスメ
trouble	さぬ⊄めこくせね	サヌ⌻メコクセネ
shout	みけもも⊀むたま	ミケモモ⌶ムタマ
except	さ⊇とまんよそ	サ⌾トマンヨソ
wrote	⊋せう	⍂セウ
seed	わ⊂りののりたるね	ワ⌹リノノリタルネ
tone	⊂めくえ⊀⊈え⊇	⌹メクエ⌶⌿エ⌾
join	せほしせきれる	セホシセキレル
suggest	ち⊉き	チ⍀キ
clean	み⊃おす⊀いて⊊	ミ⌺オス⌶イテ⍁
break	ぬむとるなちせ⊁	ヌムトルナチセ⌸
lady	かきとら	カキトラ
yard	すあ⊊	スア⍁
rise	⊋おいさも⊌	⍂オイサモ⍢
bad	も⊉⊈へるて	モ⍀⌿ヘルテ
blow	⊄きてっ⊆ろえか	⌻キテッ⌽ロエカ
oil	れせはさ	レセハサ
blood	⊁む⊍け	⌸ム⍕ケ
touch	てそ⊋けんひに	テソ⍂ケンヒニ
grew	ゆさ▣る	ユサ◈ル
cent	⊂おく⊍	⌹オク⍕
mix	⊍⊂そ	⍕⌹ソ
team	によ⊃ゔる⊀ねかほ	ニヨ⌺ヴル⌶ネカホ
wire	もあおんせ⊉もふえ	モアオンセ⍀モフエ
cost	もら⊋ほうれせはう	モラ⍂ホウレセハウ
lost	もふ⊋⊈⊈へま	モフ⍂⌿⌿ヘマ
brown	▣⊅ぬ⊆⊃⊌	◈⌼ヌ⌽⌺⍢
wear	みたあ⊌は	ミタア⍢ハ
garden	ぬみおに⊉ね	ヌミオニ⍀ネ
equal	れね⊊ろ	レネ⍁ロ
sent	けく⊋り▣ゆぬい▣	ケク⍂リ◈ユヌイ◈
choose	⊍⊌あれ	⍕⍢アレ
fell	のひえおなほ	ノヒエオナホ
fit	くへふお⊋らゆ	クヘフオ⍂ラユ
flow	くあ⊃まひくまと	クア⌺マヒクマト
fair	よそむろも	ヨソムロモ
bank	けのゔほ	ケノヴホ
collect	はるひ⊂⊀な	ハルヒ⌹⌶ナ
save	さ⊇⊅ふ⊉	サ⌾⌼フ⍀
control	れよふせさか⊌	レヨフセサカ⍢
decimal	っあ⊂う⊃きの⊉⊉	ッア⌹ウ⌺キノ⍀⍀
gentle	⊅⊌ゔさ⊄め	⌼⍢ヴサ⌻メ
woman	よす⊅けちせ	ヨス⌼ケチセ
captain	なくのさおゆ⊍⊃	ナクノサオユ⍕⌺
practice	⊅まさえぬやけせっ	⌼マサエヌヤケセッ
separate	もやや	モヤヤ
difficult	お⊄めれ⊅な⊈る	オ⌻メレ⌼ナ⌿ル
doctor	もや⊉⊉	モヤ⍀⍀
please	⊇えうゆよかゆ	⌾エウユヨカユ
protect	かん⊃に⊍⊈へ	カン⌺ニ⍕⌿ヘ
noon	ちしそ⊂ゆほ	チシソ⌹ユホ
whose	ゔうりはもも	ヴウリハモモ
locate	はへよ⊈すぬっむ	ハヘヨ⌿スヌッム
ring	なちみひ⊁⊂わたせ	ナチミヒ⌸⌹ワタセ
character	むれ⊂ゔみ	ムレ⌹ヴミ
insect	⊉さへ▣かひ⊇	⍀サヘ◈カヒ⌾
caught	う⊁⊋かきりか	ウ⌸⍂カキリカ
period	ねな⊀られ	ネナ⌶ラレ
indicate	⊀せれのう	⌶セレノウ
radio	あ⊁み⊂⊁⊌わる	ア⌸ミ⌹⌸⍢ワル
spoke	⊊さそ	⍁サソ
atom	⊃はえ⊍い	⌺ハエ⍕イ
human	きおへ⊂て	キオヘ⌹テ
history	わよ⊁とけわも	ワヨ⌸トケワモ
effect	ね▣ほと⊈せそほり	ネ◈ホト⌿セソホリ
electric	ゆにまと	ユニマト
expect	かいきおすや⊂すせ	カイキオスヤ⌹スセ
crop	ねのあ	ネノア
modern	たいすめえ⊄⊉るお	タイスメエ⌻⍀ルオ
element	うえよゆ	ウエヨユ
hit	っっくみく	ッックミク
student	れは⊆なに⊂⊂	レハ⌽ナニ⌹⌹
corner	せはのす	セハノス
party	しうひもえんう	シウヒモエンウ
supply	しこしす	シコシス
bone	そ⊌おれ▣もらっや	ソ⍢オレ◈モラッヤ
rail	⊃さ⊇なほせ⊅⊈	⌺サ⌾ナホセ⌼⌿
imagine	きくくまた⊂う	キククマタ⌹ウ
provide	ち⊍え	チ⍕エ
agree	か⊋んに⊈	カ⍂ンニ⌿
thus	んとてのゔせらた	ントテノヴセラタ
capital	めさ⊈	メサ⌿
won't	っみむか▣	ッミムカ◈
chair	すろせひあ⊄⊉な	スロセヒア⌻⍀ナ
danger	めろそま⊇はもほ	メロソマ⌾ハモホ
fruit	てとふくひまもす	テトフクヒマモス
rich	けっ⊌け	ケッ⍢ケ
thick	みいろぬ⊆なお	ミイロヌ⌽ナオ
soldier	へわ⊋く⊍いもか	ヘワ⍂ク⍕イモカ
process	て⊉っ⊌	テ⍀ッ⍢
operate	も⊅くりかみ	モ⌼クリカミ
guess	しして⊌ゔくえ	シシテ⍢ヴクエ
necessary	⊍すみう	⍕スミウ
sharp	にっゆ⊆っかみま	ニッユ⌽ッカミマ
wing	⊄ゆせひ	⌻ユセヒ
create	のひこあう⊋ら	ノヒコアウ⍂ラ
neighbor	けえっみこゔ	ケエッミコヴ
wash	あひうるにる⊊あり	アヒウルニル⍁アリ
bat	ふてま⊍へろ⊁	フテマ⍕ヘロ⌸
rather	ともへ⊀りや	トモヘ⌶リヤ
crowd	うゔ⊋ちううこ	ウヴ⍂チウウコ
corn	⊀⊆⊋めいくた	⌶⌽⍂メイクタ
compare	▣おな⊅⊄⊀あま	◈オナ⌼⌻⌶アマ
poem	う⊀ゆさすくとへに	ウ⌶ユサスクトヘニ
string	むれあ⊄	ムレア⌻
bell	ここっす	ココッス
depend	⊉れた⊅⊁ら	⍀レタ⌼⌸ラ
meat	にせっみえ	ニセッミエ
rub	⊆ねみ⊌	⌽ネミ⍢
tube	よ▣よよこもろ	ヨ◈ヨヨコモロ
famous	いれなっうけへけ	イレナッウケヘケ
dollar	⊆はちへち	⌽ハチヘチ
stream	もそ⊇⊈わ	モソ⌾⌿ワ
fear	⊀のけ⊇ゔは	⌶ノケ⌾ヴハ
sight	むれそん⊇	ムレソン⌾
thin	りな⊍	リナ⍕
triangle	ろちな⊋⊈のうち	ロチナ⍂⌿ノウチ
planet	こゆけのまむに	コユケノマムニ
hurry	のむすたき⊉む	ノムスタキ⍀ム
chief	え⊁のり⊃⊂き	エ⌸ノリ⌺⌹キ
colony	さしろ⊈なしけゔ	サシロ⌿ナシケヴ
clock	んか⊅ひね	ンカ⌼ヒネ
mine	⊂⊄か⊇むね⊍さゔ	⌹⌻カ⌾ムネ⍕サヴ
tie	れまほ⊁きお⊃	レマホ⌸キオ⌺
enter	そてほうのら	ソテホウノラ
major	んほま	ンホマ
fresh	まやよもね⊍⊋	マヤヨモネ⍕⍂
search	ねるふやゔ⊄るこい	ネルフヤヴ⌻ルコイ
send	▣すめよなく	◈スメヨナク
yellow	えにめろ	エニメロ
gun	⊌せ⊊よか	⍢セ⍁ヨカ
allow	よ⊃⊉ら	ヨ⌺⍀ラ
print	かふ⊊ゔ⊀	カフ⍁ヴ⌶
dead	うりなすかと	ウリナスカト
spot	ほたし	ホタシ
desert	き⊍ふろ	キ⍕フロ
suit	んち⊊はまふ⊃⊈	ンチ⍁ハマフ⌺⌿
current	まぬいしりるゆ⊁ね	マヌイシリルユ⌸ネ
lift	むりひへちもゔうん	ムリヒヘチモヴウン
rose	⊇たきれえん⊃わ	⌾タキレエン⌺ワ
continue	て⊇ゔや⊇	テ⌾ヴヤ⌾
block	やほ⊄⊈すむ	ヤホ⌻⌿スム
chart	こんくち⊆く⊉▣	コンクチ⌽ク⍀◈
hat	ゆさゆか⊄うさ	ユサユカ⌻ウサ
sell	え⊉か	エ⍀カ
success	ちせはけゆ▣よきる	チセハケユ◈ヨキル
company	わんあてこなた	ワンアテコナタ
subtract	⊅もめろもて⊍	⌼モメロモテ⍕
event	ははすとくにほ⊊	ハハストクニホ⍁
particular	⊌さのわ⊀⊆むなぬ	⍢サノワ⌶⌽ムナヌ
deal	▣か▣⊂	◈カ◈⌹
swim	あのひ▣⊅	アノヒ◈⌼
term	む⊃ち	ム⌺チ
opposite	⊌まひり	⍢マヒリ
wife	ほゔると⊇⊍⊍	ホヴルト⌾⍕⍕
shoe	るえい	ルエイ
shoulder	いえわたいく	イエワタイク
spread	⊃⊅そくるもすまゔ	⌺⌼ソクルモスマヴ
arrange	ふよっわき⊍な	フヨッワキ⍕ナ
camp	す⊆⊀▣	ス⌽⌶◈
invent	⊉と⊀え	⍀ト⌶エ
cotton	⊂ふおほくろへき	⌹フオホクロヘキ
born	うゆてぬま⊀ほ	ウユテヌマ⌶ホ
determine	かおたてみ	カオタテミ
quart	⊆れもねたと	⌽レモネタト
nine	⊆⊇ら⊍⊃へ⊆⊁ち	⌽⌾ラ⍕⌺ヘ⌽⌸チ
truck	▣⊇ひかのおちら	◈⌾ヒカノオチラ
noise	⊍わさ	⍕ワサ
level	さゆろち	サユロチ
chance	⊇⊆ひに	⌾⌽ヒニ
gather	め⊅ぬ⊋⊉うてむわ	メ⌼ヌ⍂⍀ウテムワ
shop	ひあいにんへら	ヒアイニンヘラ
stretch	けみ⊈あとか⊀	ケミ⌿アトカ⌶
throw	たや⊇⊃	タヤ⌾⌺
shine	⊅けいこぬれ	⌼ケイコヌレ
property	⊌れさ	⍢レサ
column	⊈⊀け⊋	⌿⌶ケ⍂
molecule	まみねれ⊃せ	マミネレ⌺セ
select	しやあくるう⊅	シヤアクルウ⌼
wrong	す⊆⊌⊁へ	ス⌽⍢⌸ヘ
gray	おいな⊋そ⊊ろ⊌⊂	オイナ⍂ソ⍁ロ⍢⌹
repeat	み⊁さま	ミ⌸サマ
require	⊄にはう⊄⊁	⌻ニハウ⌻⌸
broad	ちた⊃やえほへ	チタ⌺ヤエホヘ
prepare	⊁⊊も⊁に⊀	⌸⍁モ⌸ニ⌶
salt	とほへそ	トホヘソ
nose	お⊍こ⊆やく	オ⍕コ⌽ヤク
plural	いふちもねき	イフチモネキ
anger	とはっみうそ⊉て	トハッミウソ⍀テ
claim	こにろ⊃へけう	コニロ⌺ヘケウ
continent	なにわはくて⊈	ナニワハクテ⌿
oxygen	い⊍らせみむ⊈る	イ⍕ラセミム⌿ル
sugar	せ▣まみそ	セ◈マミソ
death	ふに⊅いす⊁⊌しき	フニ⌼イス⌸⍢シキ
pretty	⊌せは	⍢セハ
skill	のるんう⊂お⊁おあ	ノルンウ⌹オ⌸オア
women	こうひかてゆほれ	コウヒカテユホレ
season	ふは⊊⊌ま▣	フハ⍁⍢マ◈
solution	わらゆけらみ	ワラユケラミ
magnet	そこん⊋や	ソコン⍂ヤ
silver	すか⊀	スカ⌶
thank	ゆ⊂⊃	ユ⌹⌺
branch	あ⊀への	ア⌶ヘノ
match	⊃ぬみ⊅⊇⊄	⌺ヌミ⌼⌾⌻
suffix	にさおとふま	ニサオトフマ
especially	すほさもゔ	スホサモヴ
fig	へはんち	ヘハンチ
afraid	わこおいす	ワコオイス
huge	こえれゔせむ	コエレヴセム
sister	ゔ⊅なかきけ	ヴ⌼ナカキケ
steel	⊄ゆ⊈んななゔ	⌻ユ⌿ンナナヴ
discuss	⊌⊃んあ⊉	⍢⌺ンア⍀
forward	のいう⊃ゆあ▣	ノイウ⌺ユア◈
similar	えろ⊂	エロ⌹
guide	⊂けのろ	⌹ケノロ
experience	ぬせは⊊けし	ヌセハ⍁ケシ
score	くえきなむ▣	クエキナム◈
apple	⊈⊄すゆさあよ	⌿⌻スユサアヨ
bought	は⊄よ⊊	ハ⌻ヨ⍁
led	⊅⊍むはま	⌼⍕ムハマ
pitch	と▣ら⊂	ト◈ラ⌹
coat	⊍⊌ういさ⊌な⊈	⍕⍢ウイサ⍢ナ⌿
mass	▣まうちう	◈マウチウ
card	あ⊍⊅れ⊋ひの	ア⍕⌼レ⍂ヒノ
band	⊊っらえって	⍁ッラエッテ
rope	▣⊌え▣⊀⊉	◈⍢エ◈⌶⍀
slip	お⊇ほかこり	オ⌾ホカコリ
win	めみゔめりこ⊂け	メミヴメリコ⌹ケ
dream	そてかおふよ	ソテカオフヨ
evening	ち⊈ら⊊ま	チ⌿ラ⍁マ
condition	ゔまあ	ヴマア
feed	わあ▣	ワア◈
tool	⊃⊃ねわえけよろ	⌺⌺ネワエケヨロ
total	てねも	テネモ
basic	とぬう	トヌウ
smell	め⊃⊂お	メ⌺⌹オ
valley	っねへひめ⊃	ッネヘヒメ⌺
nor	ことよ	コトヨ
double	ひ⊊の⊊も	ヒ⍁ノ⍁モ
seat	ゆ⊀へゔめうむぬね	ユ⌶ヘヴメウムヌネ
arrive	てね▣ね⊆	テネ◈ネ⌽
master	けすあくにさ	ケスアクニサ
track	ほそなこは⊆	ホソナコハ⌽
parent	れれ▣ち⊌も	レレ◈チ⍢モ
shore	みひいす⊁み	ミヒイス⌸ミ
division	んさ⊌ゔ⊂	ンサ⍢ヴ⌹
sheet	ふねひ⊍	フネヒ⍕
substance	はやれ⊁ひあ	ハヤレ⌸ヒア
favor	さきせ	サキセ
connect	け⊍まむ	ケ⍕マム
post	ていのわそ	テイノワソ
spend	⊄ろっゆゆ⊁りう⊍	⌻ロッユユ⌸リウ⍕
chord	れねし⊃む⊂	レネシ⌺ム⌹
fat	る⊀⊌えもゆ⊋⊅	ル⌶⍢エモユ⍂⌼
glad	⊁んろ⊌け⊅	⌸ンロ⍢ケ⌼
original	あ⊋ぬき	ア⍂ヌキ
share	ほふ⊁めけた	ホフ⌸メケタ
station	たいむ⊆ゆた	タイム⌽ユタ
dad	まうもえ⊆	マウモエ⌽
bread	ゔえれ⊄ろれけ	ヴエレ⌻ロレケ
charge	たきみ	タキミ
proper	⊍は▣んお	⍕ハ◈ンオ
bar	たは⊆か⊊な⊅い	タハ⌽カ⍁ナ⌼イ
offer	⊋よ⊉ら	⍂ヨ⍀ラ
segment	けけぬ	ケケヌ
slave	へ⊉み⊍う	ヘ⍀ミ⍕ウ
duck	⊉めまるね	⍀メマルネ
instant	ねにま⊍い	ネニマ⍕イ
market	ゆまにおひ	ユマニオヒ
degree	みた⊊⊇え	ミタ⍁⌾エ
populate	か⊄さ	カ⌻サ
chick	⊀くよいおおむか	⌶クヨイオオムカ
dear	にっ⊇るけり⊄ひ	ニッ⌾ルケリ⌻ヒ
enemy	おまんむ⊆⊇なの	オマンム⌽⌾ナノ
reply	えかの⊊やっせ⊃	エカノ⍁ヤッセ⌺
drink	しおさへんんと⊋⊅	シオサヘンント⍂⌼
occur	た⊃ねけせ	タ⌺ネケセ
support	んた⊊け	ンタ⍁ケ
speech	っらもしと	ッラモシト
nature	⊌れら⊇ゔせ	⍢レラ⌾ヴセ
range	⊀も⊁⊀にき	⌶モ⌸⌶ニキ
steam	さそむる	サソムル
motion	さち⊄にけ⊀	サチ⌻ニケ⌶
path	よてたらわ⊄▣ろめ	ヨテタラワ⌻◈ロメ
liquid	⊇⊂ぬ	⌾⌹ヌ
log	ふゆうしめけけ	フユウシメケケ
meant	さるの⊆	サルノ⌽
quotient	にむ⊅	ニム⌼
teeth	ちすと⊊も⊇⊂へ⊃	チスト⍁モ⌾⌹ヘ⌺
shell	⊍かきはるす	⍕カキハルス
neck	みる⊍⊉	ミル⍕⍀
citrus	ゆ⊈や⊁⊌え	ユ⌿ヤ⌸⍢エ
mandarin	⊌んね⊀⊉のけは	⍢ンネ⌶⍀ノケハ
pomelo	⊌み⊀こ⊇てゔ	⍢ミ⌶コ⌾テヴ
citron	いとて	イトテ
micrantha	ほひみこ	ホヒミコ
Ichang papeda	なゆけろさたよちす	ナユケロサタヨチス
kumquat	へえほものさ	ヘエホモノサ
trifoliate orange	お⊅ら⊊き	オ⌼ラ⍁キ
round lime	けせめあゆかみ⊃ん	ケセメアユカミ⌺ン
desert lime	しはせそみ⊍ま	シハセソミ⍕マ
finger lime	は⊁えゆおりちく	ハ⌸エユオリチク
glome	⊅そら⊃▣てそね	⌼ソラ⌺◈テソネ
gongyl	きう⊁にたくぬと	キウ⌸ニタクヌト
tesseract	ねす⊄せ	ネス⌻セ
pentachoron	⊋ちか⊀かわゆさ	⍂チカ⌶カワユサ
hexadecachoron	ん⊉なれちう⊊	ン⍀ナレチウ⍁
icositetrachoron	⊋むもねしも⊅⊅	⍂ムモネシモ⌼⌼
hecatonicosachoron	るとめ⊈	ルトメ⌿
hexacosichoron	しりよおふうてよ⊁	シリヨオフウテヨ⌸
truncated	いゔないおっみ	イヴナイオッミ
rectified	う⊌ふくおろへふ	ウ⍢フクオロヘフ
cantellated	うくやへふ⊂る⊅か	ウクヤヘフ⌹ル⌼カ
runcinated	け⊂ね	ケ⌹ネ
cantitruncated	▣もやてへはか⊂や	◈モヤテヘハカ⌹ヤ
runcitruncated	⊅⊋はへ⊂	⌼⍂ハヘ⌹
runcicantellated	うそ⊊	ウソ⍁
omnitruncated	⊌そゔみた	⍢ソヴミタ
spheritorus	みこう	ミコウ
torisphere	⊉ちけてひめきた	⍀チケテヒメキタ
tiger	ゔみあ	ヴミア
ditorus	ねぬゆなろこしこ	ネヌユナロコシコ
dimension	⊁ろにの⊋のした⊆	⌸ロニノ⍂ノシタ⌽
future	はか⊋かくゆしゔ	ハカ⍂カクユシヴ
Axis A	ぬえめ⊌さけ⊅よ⊆	ヌエメ⍢サケ⌼ヨ⌽
Axis B	たけ⊉ろちあ	タケ⍀ロチア
Axis C	あえけりむゆ	アエケリムユ
Axis D	⊁すせも⊇っ	⌸スセモ⌾ッ
hiragana	にりめひしそ	ニリメヒシソ
katakana	さめま	サメマ
syllabary	なえにぬ⊉まへ⊍	ナエニヌ⍀マヘ⍕
syllable	わひぬすっこ	ワヒヌスッコ
timbre	ゔしい⊊い⊀らお	ヴシイ⍁イ⌶ラオ
guttural	せ⊌⊂けわへこかの	セ⍢⌹ケワヘコカノ
discrete	いきのる	イキノル
matrix	なんいうほき	ナンイウホキ
modal voice (in contrast to breathy/creaky)	てへねち	テヘネチ
breathy voice	おう⊁	オウ⌸
creaky voice	⊅⊃⊉	⌼⌺⍀
modal voice (in contrast to nasal)	⊁むち⊉りかりこの	⌸ムチ⍀リカリコノ
nasal voice	め⊉⊃あ⊀れ	メ⍀⌺ア⌶レ
Krighteng	ゆたよふいり	ユタヨフイリ
